BEST_INDEX=0

================================================================================
SAMPLE 0
CORRECT=False
CRITIC_CORRECT=False
EXTRACTED=None
TOKENS=32000
MESSAGE=Critic verdict: INCORRECT | No expression found

<think>We are given: "You are solving the Game of 24.

You are given four numbers: 2, 5, 8, 11

Your job is to produce a valid arithmetic expression using:
- ALL four numbers exactly once
- ONLY +, -, *, /
- The expression must evaluate to exactly 24.

Please reason step by step, and put your final answer containing only the expression within \\boxed{}."

We need to produce expression that equals 24 using exactly the four numbers: 2, 5, 8, 11. We can use any operations: +, -, *, /.

We need to produce a valid arithmetic expression that equals exactly 24.

Let's see possible combinations. Let's try to find expression: Possibly (11 - 8/2)*5? That equals (11 - 4)*5 = 7*5 = 35, not 24. Alternatively, maybe 11 - 8/2 = 11 - 4 = 7, then 7+5=12, not 24. Alternatively, maybe 11-5=6, then 8/2=4, then 6+4=10, not 24.

Maybe (11-5)*2 - 8? That equals (6*2)-8=12-8=4, not 24.

Maybe (11-5)/2=3, then 8+3=11, not 24.

Alternatively, maybe (11+8)/5=19/5, not integer.

Maybe 11+8=19, then 19-5=14, then 14/2=7, not 24.

Alternatively, maybe 11+5=16, then 16-8=8, then 8*2=16, not 24.

Alternatively, maybe 11+8=19, then 19+5=24, then 24/2=12, not 24.

Alternatively, maybe (11+5)*(8-2)=16*6=96, no.

Alternatively, maybe (11-2)=9, then 9-5=4, then 4*8=32, no.

Alternatively, maybe (11-5)=6, then 6+8=14, then 14/2=7, no.

Alternatively, maybe (8-5)=3, then 11-2=9, then 9/3=3, no.

Alternatively, maybe (11*2)=22, then 22+5=27, then 27-8=19, no.

Alternatively, maybe (11*2)=22, then 22+8=30, then 30-5=25, no.

Alternatively, maybe (11*2)=22, then 22-8=14, then 14+5=19, no.

Alternatively, maybe (11*5)=55, then 55/8=6.875, then subtract 2? Not.

Alternatively, maybe (11*8)=88, then 88/5=17.6, then subtract 2? Not.

Alternatively, maybe (11*8)=88, then 88/2=44, then subtract 5? equals 39, no.

Alternatively, maybe (8*5)=40, then 40/2=20, then add 11=31, no.

Alternatively, maybe (8*5)=40, then 40/11 is not integer.

Alternatively, maybe (11*2)=22, then add 8=30, then subtract 5=25, no.

Alternatively, maybe (11-8)=3, then 5*2=10, then 10+3=13, no.

Alternatively, maybe (11-8)=3, then 5+2=7, then 7*3=21, not 24.

Alternatively, maybe (11-8)=3, then 5*2=10, then 10+3=13, no.

Alternatively, maybe (11+8)=19, then (5+2)=7, then 19-7=12, no.

Alternatively, maybe (11+5)=16, then (8-2)=6, then 16+6=22, no.

Alternatively, maybe (11+5)=16, then (8/2)=4, then 16+4=20, no.

Alternatively, maybe (11+5)=16, then (8-2)=6, then 16-6=10, no.

Alternatively, maybe (11+5)=16, then (8/2)=4, then 16-4=12, no.

Alternatively, maybe (11+8)=19, then (5-2)=3, then 19+3=22, no.

Alternatively, maybe (11+8)=19, then (5/2)=2.5, then 19+2.5=21.5, no.

Alternatively, maybe (11+8)=19, then (5-2)=3, then 19+3=22, no.

Alternatively, maybe (11-2)=9, then (8-5)=3, then 9*3=27, no.

Alternatively, maybe (11-2)=9, then (8/5)=1.6, then 9+1.6=10.6, no.

Alternatively, maybe (11-2)=9, then (8/5)=1.6, then 9+1.6=10.6, no.

Alternatively, maybe (11+8)=19, then (5-2)=3, then 19-3=16, no.

Alternatively, maybe (11-8)=3, then (5-2)=3, then 3*3=9, no.

Alternatively, maybe (11*2)=22, then (8-5)=3, then 22/3=7.33, no.

Alternatively, maybe (11*5)=55, then (8-2)=6, then 55/6=9.166, no.

Alternatively, maybe (11+2)=13, then (8-5)=3, then 13*3=39, no.

Alternatively, maybe (11+2)=13, then (8/5)=1.6, then 13+1.6=14.6, no.

Alternatively, maybe (11+2)=13, then (8-5)=3, then 13+3=16, no.

Alternatively, maybe (11+2)=13, then (8/5)=1.6, then 13+1.6=14.6, no.

Alternatively, maybe (11*2)=22, then (8+5)=13, then 22-13=9, no.

Alternatively, maybe (11*2)=22, then (8-5)=3, then 22/3=7.33, no.

Alternatively, maybe (11*2)=22, then (8/5)=1.6, then 22+1.6=23.6, no.

Alternatively, maybe (11*2)=22, then (8/5)=1.6, then 22+1.6=23.6, no.

Alternatively, maybe (11*5)=55, then (8+2)=10, then 55/10=5.5, no.

Alternatively, maybe (11*5)=55, then (8-2)=6, then 55/6=9.166, no.

Alternatively, maybe (11*8)=88, then (5-2)=3, then 88/3=29.33, no.

Alternatively, maybe (11+8)=19, then (5*2)=10, then 19-10=9, no.

Alternatively, maybe (11*8)=88, then (5+2)=7, then 88/7=12.57, no.

Alternatively, maybe (11+8)=19, then (5*2)=10, then 19-10=9, no.

Alternatively, maybe (11+8)=19, then (5+2)=7, then 19+7=26, no.

